"No.","Time","Source","Destination","Protocol","Length","Info"
"155","13.637148","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TCP","74","53854  >  443 [ACK] Seq=1 Ack=1 Win=131328 Len=0"
"156","13.645206","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TLSv1.2","591","Client Hello"
"157","13.656524","fe80::743f:41ff:fe2d:3427","2405:204:4088:c972:d175:5de0:a2d0:cc05","ICMPv6","86","Neighbor Solicitation for 2405:204:4088:c972:d175:5de0:a2d0:cc05 from 76:3f:41:2d:34:27"
"158","13.656603","2405:204:4088:c972:d175:5de0:a2d0:cc05","fe80::743f:41ff:fe2d:3427","ICMPv6","86","Neighbor Advertisement 2405:204:4088:c972:d175:5de0:a2d0:cc05 (sol, ovr) is at 0a:89:b6:c8:72:78"
"159","13.696558","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TCP","74","443  >  53851 [ACK] Seq=5908 Ack=741 Win=15616 Len=0"
"160","13.697534","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TLSv1.2","112","Application Data"
"161","13.702447","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TCP","74","443  >  53851 [ACK] Seq=5946 Ack=829 Win=15616 Len=0"
"162","13.702447","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TLSv1.2","112","Application Data"
"163","13.702563","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TCP","74","53851  >  443 [ACK] Seq=1215 Ack=5984 Win=130816 Len=0"
"164","13.752264","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TCP","74","443  >  53851 [ACK] Seq=5984 Ack=1215 Win=16640 Len=0"
"165","13.766134","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TLSv1.2","112","Application Data"
"166","13.766138","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TLSv1.2","530","Application Data"
"167","13.766138","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TLSv1.2","112","Application Data"
"168","13.766139","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TLSv1.2","235","Application Data"
"169","13.766296","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TCP","74","53851  >  443 [ACK] Seq=1215 Ack=6677 Win=130304 Len=0"
"170","13.766854","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TLSv1.2","116","Application Data"
"171","13.786435","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TCP","74","443  >  53853 [ACK] Seq=5513 Ack=644 Win=15616 Len=0"
"172","13.787594","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TLSv1.2","348","New Session Ticket, Change Cipher Spec, Encrypted Handshake Message"
"173","13.787595","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TLSv1.2","112","Application Data"
"174","13.787595","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TLSv1.2","124","Application Data"
"175","13.787596","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TLSv1.2","107","Application Data"
"176","13.787725","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TCP","74","53853  >  443 [ACK] Seq=644 Ack=5908 Win=131072 Len=0"
"177","13.807348","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TCP","74","443  >  53854 [ACK] Seq=1 Ack=518 Win=15616 Len=0"
"178","13.807349","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TLSv1.2","1444","Server Hello"
"179","13.807349","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TCP","1444","443  >  53854 [ACK] Seq=1371 Ack=518 Win=15616 Len=1370 [TCP segment of a reassembled PDU]"
"180","13.807490","2405:204:4088:c972:d175:5de0:a2d0:cc05","2406:2000:e4:1404::3000","TCP","74","53854  >  443 [ACK] Seq=518 Ack=2741 Win=131328 Len=0"
"181","13.808106","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TCP","1430","443  >  53854 [PSH, ACK] Seq=2741 Ack=518 Win=15616 Len=1356 [TCP segment of a reassembled PDU]"
"182","13.808107","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TLSv1.2","1444","Certificate, Certificate Status"
"183","13.808107","2406:2000:e4:1404::3000","2405:204:4088:c972:d175:5de0:a2d0:cc05","TLSv1.2","120","Server Key Exchange, Server Hello Done"
